약자,한국정보과학회 (2020),BK21플러스 IF (2018),KAIST CS (2022),SNU CSE (2024.4),POSTECH CSE (2023.10),평균 (정규화),학회명,DBLP Key
VMCAI,우수,,,,우수,0.20,"International Conference on Verification, Model Checking and Abstract Interpretation (VMCAI)",conf/vmcai
VR,최우수,2,,,최우수,0.50,IEEE Conference on Virtual Reality and 3D User Interfaces (VR),conf/vr
VRST,우수,1,,,우수,0.25,Virtual Reality Software and Technology (VRST),conf/vrst
WACV,,,,,우수,0.10,IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),conf/wacv
WADS/SWAT,우수,,,,우수,0.20,nternational Symposium on Algorithms and Data Structures (WADS),conf/wads
WHC/HS,우수,,,,우수,0.20,World Haptics Conference (WHC),conf/haptics
WMT,,,,,우수,0.10,Conference on Machine Translation (WMT),conf/wmt
WoWMoM,우수,,,,우수,0.20,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM)",conf/wowmom
WSDM,우수,3,,O,우수,0.55,Web Search and Data Mining (WSDM),conf/wsdm
WWW,최우수,4,O,O,최우수,1.00,The Web Conference (WWW),conf/www
